message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.89,message_0243
msg_091,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.88,message_0238
msg_090,notify,personal,The sender directly asks this user for a response or action.,0.86,none
msg_048,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.88,message_0151
msg_040,mute,forward,The user has muted this group and the message contains no direct mention or urgent action for them.,0.88,message_0136
msg_075,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0205
msg_005,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.89,message_0401
msg_104,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.89,message_0050;message_0115
msg_069,mute,greeting,The user has muted this group and the message contains no direct mention or urgent action for them.,0.85,message_0042
msg_107,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.89,message_0023
msg_070,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0023
msg_003,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.89,message_0031
msg_099,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.88,message_0055
msg_008,digest,business_update,"The update is relevant to the user but arrived inside their quiet hours, so it can wait.",0.84,message_0072
msg_092,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.88,message_0346
msg_060,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.89,message_0404
msg_004,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0005
msg_030,mute,promotion,The user has muted this group and the message contains no direct mention or urgent action for them.,0.89,message_0050
msg_045,notify,personal,The sender directly asks this user for a response or action.,0.88,message_0145
msg_052,mute,scam,The sender is impersonating a known brand from a domain that does not match the official one.,0.87,message_0159
msg_009,mute,event,The user has muted this group and the message contains no direct mention or urgent action for them.,0.88,message_0074
msg_071,digest,personal,The message is safe casual chat with no urgent action required.,0.85,message_0197
msg_016,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0024
msg_065,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.89,message_0261
msg_038,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0131;message_0132
msg_086,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0222
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0017;message_0018
msg_094,mute,spam,The message is bulk unsolicited marketing from an account the user has no relationship with.,0.84,message_0356;message_0357
msg_029,mute,promotion,The chain forward has circulated widely and carries no verified or personally relevant information.,0.82,message_0401
msg_105,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0233;message_0373
msg_002,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.89,message_0003
msg_010,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.88,message_0011
msg_078,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0211
msg_013,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0081;message_0082
msg_018,mute,scam,The message promises unrealistic rewards or winnings to pressure the user into responding.,0.86,message_0026
msg_044,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0143
msg_032,digest,personal,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.85,message_0119
msg_106,notify,event,The sender directly asks this user for a response or action.,0.88,message_0234
msg_006,notify,event,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0001
msg_109,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.89,message_0151
msg_108,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.89,message_0093
msg_019,mute,scam,The sender is impersonating a known brand from a domain that does not match the official one.,0.87,message_0093
msg_088,mute,promotion,The user has muted this group and the message contains no direct mention or urgent action for them.,0.88,message_0224
msg_056,notify,urgent,The sender directly asks this user for a response or action.,0.89,message_0167
msg_027,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.88,message_0007
msg_050,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.89,message_0279
msg_083,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0219
msg_063,mute,scam,The message promises unrealistic rewards or winnings to pressure the user into responding.,0.86,message_0181
msg_033,digest,greeting,"The sender is trusted, but the message has no urgent action or safety relevance.",0.85,message_0121
msg_061,mute,greeting,The user has muted this group and the message contains no direct mention or urgent action for them.,0.85,message_0042
msg_020,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0095
msg_017,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.89,message_0089
msg_058,mute,forward,The user has muted this group and the message contains no direct mention or urgent action for them.,0.85,message_0039
msg_026,mute,scam,The sender is impersonating a known brand from a domain that does not match the official one.,0.90,message_0032
msg_047,notify,event,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0149
msg_046,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0147
msg_042,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0139
msg_079,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0023
msg_098,notify,personal,The sender directly asks this user for a response or action.,0.89,message_0054
msg_037,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0001
msg_007,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.88,message_0069
msg_085,mute,scam,The sender is impersonating a known brand from a domain that does not match the official one.,0.90,message_0221
msg_001,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.88,message_0057
msg_021,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0001
msg_028,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0034
msg_012,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0079;message_0080
msg_064,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0024
msg_103,notify,personal,The sender directly asks this user for a response or action.,0.88,message_0049
msg_031,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.88,message_0117
msg_057,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.89,message_0003
msg_087,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.89,message_0203;message_0204
